Parameter	Value	Regime	Scale
Total.Deviance	1,2245751	Regime1	500
Residual.Deviance	0,4909221	Regime1	500
Correlation	0,8373978	Regime1	500
AUC	0,9689	Regime1	500
Per.Expl	59,9108213	Regime1	500
cvDeviance	0,7521563	Regime1	500
cvCorrelation	0,6663082	Regime1	500
cvAUC	0,88886	Regime1	500
cvPer.Expl	38,5781862	Regime1	500
Total.Deviance	1,2315733	Regime2	500
Residual.Deviance	0,527054	Regime2	500
Correlation	0,8269772	Regime2	500
AUC	0,9643	Regime2	500
Per.Expl	57,2048198	Regime2	500
cvDeviance	0,838453	Regime2	500
cvCorrelation	0,6159862	Regime2	500
cvAUC	0,86718	Regime2	500
cvPer.Expl	31,9201731	Regime2	500
Total.Deviance	1,0135395	Regime3	500
Residual.Deviance	0,4820486	Regime3	500
Correlation	0,7907437	Regime3	500
AUC	0,9619	Regime3	500
Per.Expl	52,4390899	Regime3	500
cvDeviance	0,716378	Regime3	500
cvCorrelation	0,5673999	Regime3	500
cvAUC	0,86841	Regime3	500
cvPer.Expl	29,3191824	Regime3	500
Total.Deviance	0,9659281	Regime5	500
Residual.Deviance	0,2527523	Regime5	500
Correlation	0,9182828	Regime5	500
AUC	0,9964	Regime5	500
Per.Expl	73,8332131	Regime5	500
cvDeviance	0,6326866	Regime5	500
cvCorrelation	0,6148316	Regime5	500
cvAUC	0,87781	Regime5	500
cvPer.Expl	34,4996188	Regime5	500
Total.Deviance	1,2361827	Regime1	1000
Residual.Deviance	0,4615151	Regime1	1000
Correlation	0,8567216	Regime1	1000
AUC	0,9723	Regime1	1000
Per.Expl	62,6661079	Regime1	1000
cvDeviance	0,7803427	Regime1	1000
cvCorrelation	0,6640741	Regime1	1000
cvAUC	0,87288	Regime1	1000
cvPer.Expl	36,8748122	Regime1	1000
Total.Deviance	1,2573371	Regime2	1000
Residual.Deviance	0,5925316	Regime2	1000
Correlation	0,8177639	Regime2	1000
AUC	0,9598	Regime2	1000
Per.Expl	52,8740835	Regime2	1000
cvDeviance	0,9255027	Regime2	1000
cvCorrelation	0,5777156	Regime2	1000
cvAUC	0,83331	Regime2	1000
cvPer.Expl	26,3918423	Regime2	1000
Total.Deviance	0,9760805	Regime3	1000
Residual.Deviance	0,2939942	Regime3	1000
Correlation	0,9076571	Regime3	1000
AUC	0,9943	Regime3	1000
Per.Expl	69,880127	Regime3	1000
cvDeviance	0,6727904	Regime3	1000
cvCorrelation	0,5804256	Regime3	1000
cvAUC	0,87182	Regime3	1000
cvPer.Expl	31,0722422	Regime3	1000
