Category	Influence	Sig_Influence	Regime	Scale
Anthropogenic	44,46139	45,18844	Regime1	500
Biophysical	55,53861	54,81156	Regime1	500
Anthropogenic	29,07407	17,67819	Regime2	500
Biophysical	70,92593	82,32181	Regime2	500
Anthropogenic	51,6132	56,581168	Regime3	500
Biophysical	48,3868	43,418832	Regime3	500
Anthropogenic	35,23912	19,823261	Regime5	500
Biophysical	64,76088	80,176739	Regime5	500
Anthropogenic	29,37349	19,525492	Regime1	1000
Biophysical	70,62651	80,474508	Regime1	1000
Anthropogenic	22,89859	9,000355	Regime2	1000
Biophysical	77,10141	90,999645	Regime2	1000
Anthropogenic	19,53733	0	Regime3	1000
Biophysical	80,46267	100	Regime3	1000
Anthropogenic	21,67745	6,722608	Regime5	1000
Biophysical	78,32255	93,277392	Regime5	1000
Anthropogenic	37,9182	37,28244	Regime1	1500
Biophysical	62,0818	62,71756	Regime1	1500
Anthropogenic	26,02064	18,644873	Regime2	1500
Biophysical	73,97936	81,355127	Regime2	1500
Anthropogenic	26,32415	19,65301	Regime3	1500
Biophysical	73,67585	80,34699	Regime3	1500
Anthropogenic	19,52821	0	Regime5	1500
Biophysical	80,47179	100	Regime5	1500
Anthropogenic	34,08163	31,07105	Regime1	2500
Biophysical	65,91837	68,92895	Regime1	2500
Anthropogenic	33,69302	27,761775	Regime2	2500
Biophysical	66,30698	72,238225	Regime2	2500
Anthropogenic	29,06669	24,207168	Regime3	2500
Biophysical	70,93331	75,792832	Regime3	2500
Anthropogenic	15,394	0	Regime5	2500
Biophysical	84,606	100	Regime5	2500
Anthropogenic	37,71147	40,427748	Regime1	4000
Biophysical	62,28853	59,572252	Regime1	4000
Anthropogenic	30,50154	27,035384	Regime2	4000
Biophysical	69,49846	72,964616	Regime2	4000
Anthropogenic	16,9257	6,549019	Regime3	4000
Biophysical	83,0743	93,450981	Regime3	4000
Anthropogenic	39,5318	33,716184	Regime5	4000
Biophysical	60,4682	66,283816	Regime5	4000
