FID	FID_1	Depth	Complexity	Coral	CCA	Turf	Macro	Other	Grazers	Scrapers	Browsers	Predators	Secondary	Sedimentation	Effluent	New_Development	Habitat_Modification	Invasive_Algae	FishingTotal	Fishing_NonComm_Total	Fishing_Comm_Total	Fishing_Comm_Line	Fishing_Comm_Net	Fishing_Comm_Spear	Fishing_NonComm_Boat_Total	Fishing_NonComm_Boat_Line	Fishing_NonComm_Boat_Net	Fishing_NonComm_Boat_Spear	Fishing_NonComm_Shore_Total	Fishing_NonComm_Shore_Line	Fishing_NonComm_Shore_Net	Fishing_NonComm_Shore_Spear	CHL_ANOM_F	CHL_CLIM_M	PAR_CLIM_M	PAR_STD	SST_CLIM_M	SST_DHW_MA	SST_STD	WAV_ANOM_F	WAV_CLIM_M	Majority	Regime	Regime1	Regime2	Regime3	Regime4	Regime5
0	1	4,9	11,59458536	11,46875	24,21875	50,4375	13,25	0,3125	57,65543564	11,67951051	10,49513982	4,518175873	11,86695543	0,369945	17726,30078	0,0026394	0	0	1,65358	1,63713	0,0164428	0,0089366	0,0042612	0,003245	0,132102	0,0284312	0,0543052	0,0493659	1,50503	0	2,36922	0,86534	0,0583	0,17755	53,4099007	10,0984001	27,4689999	0	1,04164	0,119073	47,8143997	two_thirds	2	0	1	0	0	0
1	3	24	16,59628904	8,026755858	9,364548468	70,56856189	9,364548468	0,334448127	16,30081981	9,040804862	0	6,557556587	19,3223634	0,0008579	2079,620117	0,124576	0	0	2,4207001	2,4042499	0,0164428	0,0089366	0,0042612	0,003245	0,240501	0,0517473	0,0988896	0,0898636	2,1637499	2,8891201	1,48071	0,475138	0,0237	0,1599	53,6559982	10,0558996	26,6294994	0	0,980896	0,078293	73,1305008	two_thirds	2	0	1	0	0	0
2	4	11	10,79841648	10	4,8	41,2	27,2	13,6	12,30231275	81,90004033	12,81229156	3,67908721	15,33686151	1,97971	862,973999	0,0039247	0	1	4,1029301	4,0939002	0,0090334	0,0058514	0,0042612	0,003245	0,117398	0,0252674	0,0482588	0,0438715	3,9765	8,7180204	2,36922	0,878156	0,0514	0,1361	53,6357994	10,0650997	27,4689999	0	1,04164	0,072919	82,0968018	two_thirds	2	0	1	0	0	0
3	5	1,32	5,542863001	7,958333333	7,750000001	56,04166667	20,1875	3,9375	19,14043843	31,11274104	21,10206976	1,728763328	19,94076929	7,3239498	4159,25	0,0049115	0	1	7,8077502	7,7913098	0,0164428	0,0089366	0,0042612	0,003245	0,122423	0,0263486	0,0503249	0,0457491	7,66889	10,4616003	2,36922	0,837586	0,0514	0,1361	53,6357994	10,0650997	27,4689999	0	1,04164	0,0736037	82,6747971	two_thirds	2	0	1	0	0	0
4	6	2,6	7,884183933	9,932603356	15,03125	54,73978727	10,57685889	7,956824368	36,0031556	13,41935314	22,99864059	3,66170941	21,74865629	6,3587098	15667,90039	0,0052052	0	1	6,3525	6,33606	0,0164428	0,0089366	0,0042612	0,003245	0,126971	0,0273272	0,0521952	0,0474487	6,2090902	10,2374001	2,36922	0,835938	0,0514	0,1361	53,6357994	10,0650997	27,4689999	0	1,04164	0,0775555	80,3835983	two_thirds	2	0	1	0	0	0
5	7	2,333333333	10,10637267	17,55208333	11,97916667	50,88541667	11,875	7,447916667	13,88419826	8,83309079	44,75734343	2,660274716	15,50777031	1,29716	28690,30078	0,0078007	0	1	11,2988005	11,2824001	0,0164428	0,0089366	0,0042612	0,003245	0,132389	0,0284929	0,054423	0,0494731	11,1499996	10,4616003	2,36922	0,929105	0,0583	0,17755	53,4099007	10,0984001	27,4689999	0	1,04164	0,119073	47,8143997	two_thirds	5	0	0	0	0	1
6	8	5	7,60946119	18,50399059	15,50199525	40,07573007	19,52657357	0	1,532333259	16,76519415	41,38624418	5,22969006	8,874556765	41,0693016	19395,69922	0,0034829	0	0	1,3256	1,30915	0,0164428	0,0089366	0,0042612	0,003245	0,142561	0,0306813	0,0586058	0,0532737	1,16659	6,5385399	2,36922	0,769516	0,0652	0,219	53,1839981	10,1317997	27,0429993	0	1,01196	0,086828	51,2454987	two_thirds	2	0	1	0	0	0
7	11	NA	11,88903177	20,22591462	6,32091952	63,68904867	8,789102436	0,367505409	9,78156234	0	66,36520429	2,490987515	12,19332777	19,9862995	16156	0,0083906	0	0	0,964143	0,9477	0,0164428	0,0089366	0,0042612	0,003245	0,157468	0,0338883	0,0647364	0,0588434	0,790232	0	2,36922	0,766539	0,0652	0,219	53,1839981	10,1317997	27,0429993	0	1,01196	0,0789253	34,3846016	two_thirds	2	0	1	0	0	0
8	12	NA	21,81754598	21,51114211	4,038394174	64,94514493	2,529419301	0,043722309	45,03921216	0	2,743373028	7,621627103	17,67823615	63,4482994	26193,40039	0,0303416	0	0	8,4291201	8,4126701	0,0164428	0,0089366	0,0042612	0,003245	0,160567	0,034555	0,066011	0,0600014	8,2521095	9,9586496	2,36922	0,913184	0,0652	0,219	53,1839981	10,1317997	26,9664993	0	1,00428	0,079136	30,6553993	two_thirds	2	0	1	0	0	0
9	13	23	7,877170631	0,336700303	3,03030303	80,47138051	12,45791242	1,683501717	2,088079619	0	0,066975648	0	11,97162242	0,122406	0	0,0001359	0	0	0,0833132	0,079732	0,0035811	0,0035811	0	0	0,0786245	0,0169222	0,032321	0,0293813	0,0030765	0	0	0,0030765	0,0791	0,1226	53,4556007	9,7663002	27,0230007	0	1,11169	0,0751842	70,5059967	two_thirds	1	1	0	0	0	0
10	14	13	8,613840157	12,86611592	5,952412799	47,74560713	30,8178534	1,618010753	83,3846155	117,50573	21,6227376	19,43698965	50,07383335	2,6141901	0	0,0046177	0	0	0,138753	0,135171	0,0035811	0,0035811	0	0	0,0814191	0,017524	0,0334692	0,0304259	0,0537523	0,0425642	0,0588304	0,0173232	0,0791	0,1226	53,4556007	9,7663002	27,0230007	0	1,11169	0,074816	74,2314987	two_thirds	2	0	1	0	0	0
11	16	11	14,108831	15,31158034	2,533783783	41,5349918	19,78108408	19,44529478	31,22345473	5,195597341	4,949487138	10,86185745	39,6790963	2,7677901	0	0,0039091	0	0	0,274074	0,270493	0,0035811	0,0035811	0	0	0,0767738	0,0165235	0,0315612	0,0286892	0,193719	0,205904	0,0886781	0,0340024	0,0336	0,0866	52,8227997	9,2575998	27,0634995	0	1,11564	0,102634	56,7263985	two_thirds	2	0	1	0	0	0
12	18	13,5	4,027092735	8,285294118	9,695098039	39,5245098	40,89509804	1,2	4,964811991	1,78214212	9,149062954	2,074167802	10,51933319	0,909367	4321,939941	0,0083094	0	0	1,14978	1,09045	0,0593215	0,0480563	0	0,0112652	0,377987	0,0813139	0,15545	0,141223	0,712468	0	2,36922	0,641391	0,1112	0,1576	54,3363991	10,0005999	26,6720009	0	1,02097	0,115648	37,0022011	two_thirds	2	0	1	0	0	0
13	19	9	15,57734732	10,01772203	2,418814078	64,00277804	19,41517384	1,726697941	44,14201119	11,06919165	0	3,269994284	24,6012837	7,0725498	0	0,0038613	0	0	0,707032	0,703451	0,0035811	0,0035811	0	0	0,0749968	0,0161403	0,0308322	0,0280243	0,628454	0,284344	0,0886781	0,430132	0,0336	0,0866	52,8227997	9,2575998	27,0944996	0	1,11878	0,0719705	92,0295029	two_thirds	2	0	1	0	0	0
14	23	14	8,130838348	6,590285932	8,764198982	64,58088519	16,25048964	0,675675658	4,968902807	6,993394038	9,427583513	4,713069887	74,70213065	0	0	0,0011524	0	0	0,462293	0,402972	0,0593215	0,0480563	0	0,0112652	0,397318	0,0854701	0,163405	0,148443	0,0194957	0	0	0,0194957	0,1206	0,1662	54,4572983	9,9861002	26,8369999	0	1,01003	0,156691	23,9566002	two_thirds	2	0	1	0	0	0
15	24	18	3,611670637	0,403225807	0,4	47,85161291	14,84516129	36,5	0,148468224	0	0	0	3,853022166	11,9209003	0	0,0035296	0	0	0,534075	0,484259	0,0498159	0,0498159	0	0	0,0777569	0,0167325	0,0319707	0,0290537	0,406502	0,0307607	0,0511569	0,378721	0,0336	0,0866	51,5158997	9,0958996	27,0849991	0	1,11796	0,0761855	86,4149017	two_thirds	1	1	0	0	0	0
16	26	12	14,75839545	3,424657552	7,191780825	71,91780825	12,32876708	3,424657553	25,58452308	31,03296558	5,845351406	2,521967739	16,36219935	0,212757	5057,589844	0,099006	0	0	5,1836901	5,1243701	0,0593216	0,0480564	0	0,0112652	0,434054	0,0933705	0,178518	0,162166	4,69031	7,2308502	2,36922	0,820551	0,0988	0,0959	54,5573997	9,9357004	26,8369999	0	1,01003	0,194415	15,9441004	two_thirds	2	0	1	0	0	0
17	27	9	3,380209564	3,781392678	6,568683428	71,71803651	13,09931511	0	5,282273767	0,101707033	0,02814064	0	9,099362389	8,7507696	1761,310059	0,0232648	0	0	0,985962	0,92664	0,0593215	0,0480563	0	0,0112652	0,449871	0,0967717	0,185026	0,168074	0,476769	0	0	0,476769	0,0988	0,0959	54,5573997	9,9357004	26,7590008	0	0,977948	0,195627	15,6217003	two_thirds	1	1	0	0	0	0
18	28	25	8,617304052	2,356902323	1,346801313	82,49158253	6,060606061	4,713804747	0,112887956	0,174658382	0	0	5,264388352	0	0	0,0018675	0	0	0,581285	0,541433	0,0398527	0,0398527	0	0	0,0718106	0,0154508	0,0295301	0,0268297	0,474366	0	0	0,474366	0,0652	0,0783	51,8236008	9,0283003	27,3950005	0	1,12349	0,0731822	99,3293991	two_thirds	1	1	0	0	0	0
19	29	22	5,740804895	1,683501719	17,17171719	70,70707078	4,377104348	0,336700303	0,054909193	0	0	0	2,096224843	0	0	0	0	0	0,510763	0,451441	0,0593215	0,0480563	0	0,0112652	0,451053	0,0970252	0,185513	0,168515	0,0048506	0	0	0,0048506	0,0988	0,0948	54,2946014	9,8809996	26,7590008	0	0,977948	0,190148	19,5837002	two_thirds	1	1	0	0	0	0
20	31	18	24,80856127	4,105090312	3,415435157	64,46633828	9,91555241	9,211822662	3,785678901	0	2,055444663	10,65904525	19,7295118	0	0	0,0053016	0	0	1,15555	1,09623	0,0593215	0,0480563	0	0,0112652	0,4863	0,104604	0,200016	0,18168	0,62879	0	0	0,62879	0,0988	0,0955	53,8652	9,8133001	26,8519993	0	0,971086	0,213698	13,2032003	two_thirds	2	0	1	0	0	0
21	33	15	35,63363148	9,083333334	0	85,91666667	0	0	14,52289044	5,15128022	14,34739219	6,377806595	27,96346481	0	0	0	0	0	0,129212	0,0090003	0,120212	0,120212	0	0	0,0090003	0,0019364	0,0037012	0,0033626	0	0	0	0	0,1858	0,0859	55,3058014	9,6444998	27,2189999	0	1,15099	0,094468	60,5569992	two_thirds	3	0	0	1	0	0
22	34	17	29,54648017	10,9122449	3,8	72,36734694	9	1,910204082	45,45110507	18,19387908	16,69421104	5,75673095	33,89112131	0	0	0,0095468	0	0	0,130487	0,0102752	0,120212	0,120212	0	0	0,0102752	0,0022107	0,0042256	0,0038389	0	0	0	0	0,1858	0,0859	55,3058014	9,6444998	27,2040005	0	1,14496	0,146681	8,55931	two_thirds	2	0	1	0	0	0
23	35	NA	33,65537842	0	1,276729599	95,15094336	1,943396249	0	11,88774714	0	3,043846247	0	5,184485372	0	0	0,0070459	0	0	0,129826	0,0096134	0,120212	0,120212	0	0	0,0096134	0,0020683	0,0039534	0,0035917	0	0	0	0	0,1858	0,0859	55,3058014	9,6444998	27,2189999	0	1,15099	0,101686	35,3959999	two_thirds	1	1	0	0	0	0
24	38	22	25,32669989	11,4478114	1,010101009	85,18518517	0	0,673400706	11,31908413	1,845447477	3,261625394	145,0544432	14,68500103	0,0742339	0	0,0269723	0	0	0,745309	0,685987	0,0593215	0,0480563	0	0,0112652	0,505243	0,108677	0,207813	0,188754	0,286895	0	0	0,286895	0,08895	0,0955	54,1282005	9,7869997	26,8649998	0	0,980162	0,202634	14,1962996	two_thirds	3	0	0	1	0	0
25	39	14,25	NA	2,58812691	6,986555851	75,19279721	4,128222229	3,432614537	21,31565944	7,48940714	8,386706528	8,738343807	20,41656153	0	0	0,0031231	0	0	0,127488	0,0072759	0,120212	0,120212	0	0	0,0072759	0,0015654	0,0029921	0,0027184	0	0	0	0	0,1126	0,0798	53,9718018	9,3025999	27,0869999	0	1,14685	0,074921	58,5955009	two_thirds	2	0	1	0	0	0
26	40	5	NA	1,426038519	16,00303951	57,30243163	16,72239106	2,140324215	67,31018631	20,03105171	32,94916454	32,027416	14,32976661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,1126	0,0798	53,9718018	9,3025999	27,0869999	0	1,14685	0,0859147	41,9515991	two_thirds	2	0	1	0	0	0
27	41	18	NA	2,360544232	1,346938791	76,65986388	13,17687078	5,782312895	25,52082198	28,10658214	14,84053043	40,27196731	27,13287244	0	0	4,18E-05	0	0	0,125779	0,0055669	0,120212	0,120212	0	0	0,0055669	0,0011977	0,0022893	0,0020799	0	0	0	0	0,1126	0,0798	53,9718018	9,3025999	27,0869999	0	1,14685	0,142781	10,3775997	two_thirds	2	0	1	0	0	0
28	42	17	3,846434579	0,671140973	1,006711409	70,80536911	24,83221472	2,013422816	17,21965979	42,55507844	13,12966713	33,44114912	31,25720652	0	0	0	0	0	0,123241	0,003029	0,120212	0,120212	0	0	0,003029	0,0006517	0,0012456	0,0011317	0	0	0	0	0,083	0,1032	52,0811005	8,8726997	27,2110004	0	1,0806299	0,070706	92,4368973	two_thirds	2	0	1	0	0	0
29	44	11	9,809985211	16	13,6	29,6	20,8	18,8	22,9036883	5,993249624	13,69512523	2,238358887	19,16838829	0	21,2206993	0,115165	0	0	1,00069	0,941371	0,0593215	0,0480563	0	0,0112652	0,507597	0,109182	0,208784	0,189631	0,619678	10,4616003	0	0,320775	0,0791	0,0854	54,391201	9,7607002	26,8780003	0	0,989238	0,212645	14,8935003	two_thirds	5	0	0	0	0	1
