,id_spatial,Long,Lat,Island,Coral,CCA,Turf,Macro,Other,Grazers,Scrapers,Browsers,Predators,Secondary,Effluent,Sedimentation,New_Development,Habitat_Modification,Invasive_Algae,Fishing_Comm_Total,Fishing_NonComm_Boat_Total,Fishing_NonComm_Shore_Line,Fishing_NonComm_Shore_Net,Fishing_NonComm_Shore_Spear,SST_CLIM_M,SST_STD,CHL_CLIM_M,CHL_ANOM_F,PAR_CLIM_M,PAR_STD,WAV_CLIM_M,WAV_ANOM_F,Regime
399,669,-155.90100049999998,19.07476751,Hawaii,35.4,13.6,34.4,3.4,12.8,1.712694069,9.640782466000001,4.631477356,3.112582695,5.3571974330000005,0.0,0.0,0.0679318,0,0,0.0650845,0.06608530000000001,18.2019768,0.0,6.4610438,27.636,0.841174,0.081699997,0.023700001000000002,40.8667984,7.1891999239999995,20.05482674,0.059294999,5
378,622,-155.844405,20.05505682,Hawaii,26.15585854,4.5957639630000005,38.37601249,15.22614077,7.174120817,13.50474278,13.12106125,4.498253296000001,2.810596173,10.71363398,14925.19824,119.7618637,0.0250727,0,0,0.0665927,0.21811889999999998,18.2019768,0.0,4.245949700000001,27.66699982,0.88242799,0.086300001,0.134399995,54.47240067,8.437299728,5.324028969,0.043249,5
482,802,-159.51349199999999,22.21745929,Kauai,20.42899492,11.59288799,51.53965005,14.82857357,0.735010818,1.66659935,0.0,0.157647178,4.981975029,9.073607136,537.5900676,0.200689767,0.009946933,0,0,0.0164428,0.154920867,0.0,0.0,0.803523467,27.043000000000003,1.011955,0.218999997,0.065200001,53.18399811,10.131799699999998,32.668521999999996,0.079452,2
604,994,-157.7176072,21.27573367,Oahu,0.4,4.0,26.4,54.8,8.4,0.010005154,0.130581524,0.0,0.0,1.40562398,4159.249511999999,4.9316282,0.0035805,0,1,0.29174429999999996,2.4465833,0.0,3.3990192,2.2784865,27.205,0.978141,0.090899996,0.138300002,54.796199800000004,9.286000252000001,3.2542169089999997,0.18187600399999998,1
385,637,-155.83757340000003,19.97730675,Hawaii,38.0,23.2,26.0,3.6,6.8,1.873340449,2.1608593430000003,0.371109115,13.71193291,13.01809282,14359.31348,116.47457890000001,0.065731833,0,1,0.0665927,0.232635433,0.0,0.0,6.956501632999999,27.50600052,0.875096977,0.090099998,0.138300002,53.56689835,8.327699661,7.78207016,0.04501,5
21,31,-157.2545064,21.07712274,Molokai,14.42953027,1.342281846,70.80536912,0.671140872,11.74496648,59.33288479,0.0,1.6472226559999998,24.72780166,15.44526764,0.0,0.0106662,0.0003302,0,0,0.013816899999999998,0.4272223,0.0,0.0,0.1628846,27.394000000000002,0.945199,0.08550000199999999,0.124499999,54.46559906,9.267299652,9.323996000000001,0.12687,2
202,371,-156.4257943,20.58782838,Maui,10.81081075,10.81081085,57.4324324,5.0675675710000005,12.16216217,1.1108742459999998,10.7592769,1.335680004,50.40394336,22.1625541,0.0,0.0,1.4800000000000002e-05,0,0,0.0606234,0.24315050000000002,0.0,0.0,0.24673579999999998,27.064,0.858849,0.08986555800000001,0.191699609,50.90880966,8.437793732000001,5.658923000000001,0.18124300000000002,2
405,679,-155.703349,20.19247528,Hawaii,2.7407475189999997,18.11343543,46.76130107,27.95536921,3.119807245,34.86612153,1.207398754,0.653204226,5.469836995,25.22255599,0.0,29.870655100000004,2.6e-06,0,0,0.011920299999999998,0.027193099999999998,0.0,0.0,0.5234681,27.285999999999998,0.8595729999999999,0.079999998,0.112599999,51.02809906,9.057299614,21.94581413,0.140508994,2
570,938,-157.8278267,21.25745709,Oahu,1.9,0.1,63.8,4.6,29.6,2.576943625,0.0,0.270105696,0.0,8.57984634,4839.725293,0.0,0.01104682,0,0,0.3508142,3.00509386,0.0,0.0,2.06390098,27.451999999999998,0.9274700000000001,0.10980000300000001,0.098800004,55.79970169,9.481900215,5.93414,0.1656484,1
126,222,-156.8081656,20.80064656,Lanai,0.6666666,1.0000000009999999,90.00000009,7.666666607000001,0.666666701,0.0,0.0,0.0,0.0,2.556508534,0.0,4.463521,0.00012429999999999999,0,0,0.004582800000000001,0.3956197,4.8244724,1.3700101,0.5774852,27.355999999999998,0.951091,0.11500000199999999,0.092900001,55.93470001,9.522000313,2.748998,0.22318200000000002,1
326,541,-155.9316933,19.85639453,Hawaii,40.17721723,11.06440638,42.74924173,0.0,4.952535913999999,8.239647527999999,3.805872125,0.635368731,1.5906201819999999,14.83649731,877.1206055,0.0,0.001684825,0,0,0.0665927,0.260260075,0.0,3.0096967,7.329611525,27.415,0.8566370000000001,0.091600001,0.17000000199999998,54.06439972,8.343099594,6.496282101,0.054598997999999996,3
9,14,-157.28297859999998,21.15869198,Molokai,0.6756757090000001,0.0,86.82432433,7.770270301,2.027027026,4.795837337,1.495110956,0.349691242,0.0,6.947986452,1839.1239010000002,0.016421500000000002,0.0069565,0,0,0.013816899999999998,0.3219887,0.0,0.0,0.3152983,27.075,0.975189,0.115400001,0.059300002000000004,53.95420074,9.429599762,37.14231491,0.083246,1
269,476,-155.9887994,19.83450773,Hawaii,59.78146162,2.7341682919999997,12.31353535,15.26681099,8.686512745,5.759355649,3.763694291,0.676422427,1.6606283469999998,14.27402607,664.9140014999999,0.0,0.00234631,0,0,0.0665927,0.30959205,17.47399638,1.50484835,7.08702313,27.401999999999997,0.8821190000000001,0.091600001,0.17000000199999998,54.06439972,8.343099594,13.42225933,0.053619999,5
559,925,-157.8370977,21.272094,Oahu,4.994013005,0.225235519,88.3742927,2.705869817,1.812798855,22.563867000000002,0.482704607,2.236083073,0.0,18.84861043,3848.013021,0.0,0.015027933,0,0,0.0,0.0,0.0,3.3990192,2.255619833,27.451999999999998,0.9274700000000001,0.10980000300000001,0.098800004,55.79970169,9.481900215,2.7804536669999997,0.178855,1
40,58,-157.0007001,21.06807757,Molokai,5.009434752,0.050954285,25.48638678,6.531777907,62.7803696,0.855701675,0.026908507999999998,0.0,0.0,4.877648703999999,18971.26953,0.0493416,0.0020677,0,0,0.0168928,0.58188905,0.0,0.0,0.34926415,27.247,0.902208,0.154599994,0.0889,55.71749878,9.361300468,1.619400978,0.139514998,1
177,308,-156.5947193,20.79649611,Maui,6.002237131,0.0,49.39373599,30.19015663,13.07158836,5.12316597,1.522025725,3.124412664,0.0,8.922012414,84.8826447,41.460029600000006,0.0119209,0,0,0.5037156,0.46631140000000004,0.0,0.0,1.7924953999999997,27.432,0.9649629999999999,0.086900003,0.092900001,54.44179916,9.263799667,1.6978080000000002,0.147945,1
192,342,-156.4638631,20.72466278,Maui,55.35714276,16.07142858,26.7857143,0.0,0.0,4.989909228999999,11.31912945,1.3160109629999999,8.895452985,8.522614458,198.059494,0.0,0.0083968,0,0,0.5037156,0.3911751,0.0,0.0,0.3534343,27.669,0.92648,0.08812999699999999,0.009881423,50.99010086,8.615799904,1.529461,0.16311900000000001,3
287,495,-155.9875119,19.61828676,Hawaii,5.6,5.6,85.6,0.0,0.0,7.9682186989999995,9.199143317,11.84484536,2.28029957,12.33362977,19953.08008,0.0,0.0737605,0,0,0.17750870000000002,0.5506585,18.2019768,0.0,7.137238000000001,27.26600075,0.834820986,0.061700001,0.035599999,40.11780167,8.738200187999999,9.564879417,0.048923999,3
509,851,-158.1869553,21.39709805,Oahu,0.6756757090000001,5.405405466,56.08108107,35.13513503,0.0,0.0,0.0,0.13423943800000002,0.0,1.955900846,84.8826447,0.0,0.005307,0,0,2.0607307,1.1287816000000002,0.0,0.0,1.9886446,27.848000000000003,0.967867,0.10450000300000001,0.0079,46.76119995,9.113499641,25.619945,0.07313,1
15,22,-157.2568335,21.17287409,Molokai,0.0,1.7241379000000001,78.2758621,5.862069,13.793103400000001,20.99068435,0.25275607,3.1283166419999997,0.0,16.45963595,2136.213135,3.6826212,0.0246409,0,0,0.013816899999999998,0.2747828,8.995751400000001,3.671531,0.3721889,27.075,0.975189,0.115400001,0.059300002000000004,53.95420074,9.429599762,32.994586,0.07924099999999999,1
497,833,-158.2615856,21.56139659,Oahu,4.0,6.0,64.8,22.4,2.8,2.8510315360000003,9.586502783,5.175078713,0.019858127,8.186468299,84.8826447,0.0,0.006776300000000001,0,0,2.0607307,0.4307827,12.580160099999999,0.0,2.2114036,27.186999999999998,1.037415,0.072400004,0.035599999,48.56330109,8.123999596,28.40010834,0.080926999,2
281,488,-155.9788366,19.84403076,Hawaii,21.72783412,12.98319352,58.47440774,0.0,4.108133369,13.41313798,6.678262069,4.226105861000001,1.673668556,25.76230401,962.0032958999999,0.0,0.0024780329999999997,0,0,0.0665927,0.299412317,18.2019768,1.50484835,6.694007400000001,27.401999999999997,0.8821190000000001,0.091600001,0.17000000199999998,54.06439972,8.343099594,13.00713253,0.052446000000000007,3
