id_spatial,Long,Lat,Island,Coral,CCA,Turf,Macro,Other,Grazers,Scrapers,Browsers,Predators,Secondary,Effluent,Sedimentation,New_Development,Habitat_Modification,Invasive_Algae,Fishing_Comm_Total,Fishing_NonComm_Boat_Total,Fishing_NonComm_Shore_Line,Fishing_NonComm_Shore_Net,Fishing_NonComm_Shore_Spear,SST_CLIM_M,SST_STD,CHL_CLIM_M,CHL_ANOM_F,PAR_CLIM_M,PAR_STD,WAV_CLIM_M,WAV_ANOM_F,Human_Population,Regime
13,-157.2919945,21.14264047,Molokai,4.87804877,16.02787459,74.91289191,0,0.348432069,7.580222223,37.7681199,17.26089228,0,20.00335462,551.7371826,3.2841206,0.0045399,0,0,0.0138169,0.3464453,8.9957514,3.671531,0.3717967,27.543,0.942912,0.115400001,0.059300002,53.95420074,9.429599762,36.3455658,0.084509999,0,3
16,-157.2798782,21.1668133,Molokai,1.158301204,0.772200802,88.41698836,0,8.880308826,65.63214895,67.58945885,35.12757586,0,17.54660719,834.6793213,0.0006014,0.0024857,0,0,0.0138169,0.3118996,0,0,0.2082558,27.075,0.975189,0.115400001,0.059300002,53.95420074,9.429599762,37.462277,0.086407,0,3
36,-157.0743956,21.08393597,Molokai,42.76094267,4.713804752,51.85185187,0,0,9.615683593,19.10874189,2.205367191,0,6.906714248,0,0,0,0,0,0.0168928,0.5472878,0,0,0.2299317,27.277,0.912812,0.118699998,0.140300006,55.14379883,9.123299599,3.940444,0.153846,0,3
41,-157.0435924,21.07768189,Molokai,41.33333334,1.000000001,57.00000006,0,0,3.486282559,11.61109757,0.627539981,4.264096331,7.027044108,0,0,0,0,0,0.0168928,0.5629011,0,0,0.0804952,27.374,0.911447,0.125499994,0.148200005,55.81090164,9.300100327,27.042796,0.140569,964.7910156,3
42,-157.0402523,21.08065848,Molokai,51.50983207,0.668896305,45.81119299,0,1.341182326,7.436063272,1.005362231,0,0.309583308,11.6939407,1414.710693,0.00498995,0.000851,0,0,0.0168928,0.56379425,0,0,0.3707587,27.374,0.911447,0.125499994,0.148200005,55.81090164,9.300100327,27.042796,0.140569,982.9252319,3
44,-157.0364671,21.07847189,Molokai,73.28767116,1.02739726,23.28767125,0,1.7123288,2.939800706,16.91087819,1.673556544,8.629896914,5.602566841,509.2958374,0.3025278,0.0035437,0,0,0.0168928,0.5659423,0,0,0.3574229,27.374,0.911447,0.125499994,0.148200005,55.81090164,9.300100327,27.042796,0.140569,1064.260864,3
55,-157.0127645,21.07055032,Molokai,6.818181777,0,92.85714294,0,0,1.531684246,1.028916847,0.943093298,0.407669289,12.04396674,9082.442383,0.2312952,0.0006246,0,0,0.0168928,0.5771328,0,0,0.3633905,27.374,0.911447,0.125499994,0.148200005,55.81090164,9.300100327,1.709085,0.503056,1345.203613,3
76,-156.9835843,21.06229084,Molokai,48.63878892,1.174496628,43.00429148,0,1.399217238,2.487919883,8.875669111,0,2.463511535,7.463345758,2603.067627,0.56357665,0.0019154,0,0,0.0168928,0.5877334,0,0,0.21953065,27.247,0.902208,0.154599994,0.0889,55.71749878,9.361300468,1.562652,0.057745,3415.596924,3
85,-156.9885701,20.8172984,Lanai,7.023411383,0.334448128,90.63545162,0,1.337792611,9.772051489,20.00068852,0,1.175629285,10.42096904,0,11.1779175,0.0133357,0,0,0.0580965,0.1987245,0.1206118,0.0330123,0.0143989,27.66600037,0.927675009,0.096699998,0.0099,47.39459991,7.565100193,5.817311764,0.063224003,0,3
124,-156.9497483,20.73448467,Lanai,13.6,23.2,63.2,0,0,19.78907176,18.87873322,7.158968024,0,17.99545508,0,2.254461767,0.0321216,0,0,0.0580965,0.163048667,0.482447233,0.3421274,0.145122367,27.443,0.925453,0.079800002,0.136399999,56.41650009,9.186699867,6.877894878,0.189041004,0,3
